17.8258 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
17.8284 	INFO 	Loaded monitor calibration from ['2024_08_07 22:29']
18.2585 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020BD3F7D850>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020BD3F7D7F0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020BD3F7D640>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020BD42A76A0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.2587 	EXP 	window1: backgroundImage = ''
18.2587 	EXP 	window1: backgroundFit = 'none'
18.2591 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020BD3F7D970>
18.2596 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020BD3F7D970>
18.2660 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020BD3F7D970>
18.2683 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000020BD3F7D970>
18.2851 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.2879 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.2904 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.2931 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.2954 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.2970 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.2987 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.3007 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.3018 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.3030 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.3048 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.3067 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
18.3084 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
